TimeStamp,.[Puffing2.FLOW_FT20530],.[Puffing2.Flow_FT20530.],.[Puffing2.FLOW_FT24540],.[Puffing2.Flow_FT24540.],.[Puffing2.Flow_Rate_FP6.],.[Puffing2.Flow_Rate_FP7.],.[Puffing2.FLOW_RATE_FP8.],.[Puffing2.Motor_EM2152.0],.[Puffing2.MOTOR_EM25560],.[Puffing2.Motor_EM25560.],.[Puffing2.MOTOR_EM25570],.[Puffing2.MOTOR_EM25570.],.[Puffing2.PID_PT2051.Out],.[Puffing2.PID_PT2051.PV],.[Puffing2.PID_PT2051.SP],.[Puffing2.PID_TT2051.out],.[Puffing2.PID_TT2051.PV],.[Puffing2.PID_TT2051.SP],.[Puffing2.PID_TT2454O.Out],.[Puffing2.PID_TT2454O.PV],.[Puffing2.PID_TT2454O.SP],.[Puffing2.PRESS_DPT2357.0],.[Puffing2.PRESS_DPT23570],.[Puffing2.Press_PT20510.],.[Puffing2.Press_PT2152.0],.[Puffing2.TEMP_TE20510],.[Puffing2.Temp_TE20510.],.[Puffing2.TEMP_TE2454I.0],.[Puffing2.TEMP_TE2454O0.],.[Puffing2.TEMP_TE2455I0],.[Puffing2.TEMP_TE2455O0],.[Puffing2.TEMP_TE24600]
3/1/2025 2:00,197.2914734,197.615921,113.4788208,113.6314087,6.387480259,6.071158886,7.055222988,179.2918396,4.997293949,5.115975857,4.955904484,4.941854477,66.88931274,92.35391235,92.49959564,99.9851532,352.7633057,360,59.89263153,475.9136658,472.0146484,0.125470653,0.105774112,92.28759766,76.63619232,352.7633057,352.7791138,376.3720398,475.9627991,170.0713043,74.85334015,84.9732666
3/1/2025 2:05,195.2165833,194.7448273,113.0696716,112.9348984,6.387059212,6.071635723,7.043453693,179.1907196,4.998001575,5.117315292,4.956129551,4.942023754,66.91893005,92.54112244,92.49956512,99.98470306,352.7781677,360,58.61009979,472.2678833,472.0149841,0.127944782,0.103917241,92.56499481,76.75276184,352.7781677,352.7713623,376.4667969,472.2680054,170.0031281,74.74597931,84.90576935
3/1/2025 2:10,196.2790527,195.6722717,112.9197464,112.8928909,6.386638641,6.07211256,7.068826199,179.3861084,4.998709679,5.118654728,4.956355095,4.942193031,66.00786591,92.77947998,92.49953461,99.98426056,352.1003113,360,60.13324356,470.3847351,472.0153198,0.130418897,0.102060363,92.76638794,77.12516022,352.1003113,352.0247803,376.5576477,470.3586121,169.934967,74.63861847,84.83827972
3/1/2025 2:15,196,196,113.0008011,112.7564468,6.386217594,6.072589874,7.020585537,179.7174988,4.999417782,5.119994164,4.956580162,4.942362309,67.65048981,92.57453156,92.49950409,99.98381805,351.4860229,360,63.67147064,469.3418579,472.015686,0.132893011,0.100203492,92.37489319,76.60695648,351.4860229,351.2182007,376.4076843,469.2493591,169.8667908,74.53125763,84.7707901
3/1/2025 2:20,194.995285,194.9502258,113.0414352,113.18647,6.385797024,6.073066711,7.027061462,179.5566254,5.000125408,5.121333599,4.956805229,4.942531586,68.09616089,92.42735291,92.49947357,99.98337555,351.066925,360,66.94091797,469.6595459,472.0160217,0.13536714,0.098346613,92.36399078,76.68836975,351.066925,350.9005432,376.2577515,469.5929871,169.7986298,74.42389679,84.70330048
3/1/2025 2:25,194.0263519,194.6721191,113.4964905,113.0925369,6.385376453,6.073543549,7.001970768,178.9013672,5.000833511,5.122673035,4.957030296,4.942700863,66.36167145,92.539711,92.49944305,99.98292542,351.3876038,360,67.24337006,472.5010681,472.0163574,0.135249913,0.096489735,92.79825592,76.6428299,351.3876038,350.928833,376.1078186,472.7251587,169.7304535,74.31653595,84.63581085
3/1/2025 2:30,197.4878693,195.5,113.7990036,113.6733932,6.384955406,6.074020386,7.018638611,179.1974945,5.001541138,5.12401247,4.957255363,4.942869663,67.9561615,92.4442749,92.49941254,99.98248291,352.0325317,360,63.57702637,475.2286072,472.0167236,0.134241983,0.094632864,92.4490509,76.24710083,352.0325317,351.9302673,376.0970459,475.3200378,169.6622925,74.20917511,84.5683136
3/1/2025 2:35,196.8376465,197.4221954,113.4396057,113.7655182,6.384534836,6.074497223,6.113699436,178.8771362,5.002249241,5.125351906,4.957480431,4.94303894,67.74026489,92.63407135,92.49938202,99.98204041,352.9781189,360,59.01354599,474.9311218,472.0170593,0.133234054,0.092775986,92.62812805,77.01429749,352.9781189,353.007843,376.2828674,475.209259,169.6595001,74.10180664,84.50082397
3/1/2025 2:40,196.0842133,194.8686066,113.0800171,113.2126236,6.384114265,6.07497406,7.032968044,178.5057373,5.002956867,5.126691341,4.957705498,4.943208218,68.73432922,92.32970428,92.4993515,99.9815979,352.7625427,360,58.59104538,472.1445007,472.017395,0.132226124,0.090919115,92.40466309,76.75027466,352.7625427,352.5706177,376.4686584,472.0177917,169.6884766,73.9944458,84.43333435
3/1/2025 2:45,195.5839539,194.141571,112.8931808,113.0395813,6.383693218,6.075450897,6.538622856,178.4696503,5.00366497,5.128030777,4.957930565,4.943377495,67.79683685,92.80187225,92.49932098,99.98114777,351.5119934,360,60.40826797,470.0726929,472.0177612,0.131218195,0.089221381,92.46603394,76.30328369,351.5119934,351.6402283,376.4928894,470.1378479,169.717453,73.88708496,84.36584473
3/1/2025 2:50,196.3474274,195.3497772,112.906311,113.0317383,6.383272648,6.075927734,6.876639366,179.1482849,5.004373074,5.128484249,4.958155632,4.943546772,68.06362915,92.48934937,92.49929047,99.98070526,351.3319397,360,64.14681244,469.1105347,472.0180969,0.130210266,0.087679625,92.44877625,76.47787476,351.3319397,351.1019897,376.3608398,469.0779114,169.7464294,73.78623199,84.2983551
3/1/2025 2:55,196.6953278,196.7163544,112.7683716,112.9824753,6.382852077,6.076404572,7.153876305,178.6784973,5.0050807,5.128809452,4.958380699,4.943716049,65.62051392,92.73569489,92.49925995,99.98026276,350.7900696,360,67.91028595,469.6684265,472.0184326,0.129202351,0.086137861,92.54733276,76.30505371,350.7900696,350.8875732,376.2287598,469.6022644,169.7754211,73.7133255,84.23085785
3/1/2025 3:00,196,195.8576965,113.3295212,113.4969025,6.38243103,6.076881409,7.066628456,178.7141418,5.005788803,5.129135132,4.958606243,4.943885326,66.38871002,92.82546234,92.49922943,99.97982025,351.2815247,360,67.6302948,472.9059753,472.0187988,0.128194422,0.084596105,92.54943085,76.99617004,351.2815247,351.484436,376.0967102,472.9135437,169.8043976,73.64041901,84.16336823
3/1/2025 3:05,193.9632874,194.5402832,113.7783585,113.6808624,6.38201046,6.077358246,7.030320168,178.7444153,5.006496429,5.129460335,4.95883131,4.944054604,64.85912323,92.81762695,92.49919891,99.97937012,352.543457,360,63.4963913,475.3401794,472.0191345,0.127186492,0.083054349,92.85221863,76.63591766,352.543457,352.6121826,376.039917,475.3735046,169.833374,73.56751251,84.0958786
3/1/2025 3:10,193.6845856,194.4636078,113.2896881,113.4981155,6.38158989,6.077835083,7.030320168,178.8401337,5.007204533,5.129785538,4.959056377,4.944223404,66.72866058,92.71623993,92.4991684,99.97892761,352.7718811,360,59.10912323,474.9795837,472.0194702,0.126178563,0.081512593,92.44929504,76.51677704,352.7718811,353.1181641,376.0873413,474.9578552,169.7992859,73.49460602,84.02838898
3/1/2025 3:15,195.4861603,195.106369,113.7189178,113.2667389,6.381168842,6.07831192,6.93911171,178.4876862,5.007912159,5.130111217,4.959281445,4.944392681,66.9804306,92.47486115,92.49913788,99.97848511,352.5430908,360,58.7835083,471.6556702,472.0198364,0.125170633,0.079970837,92.21089935,76.41786957,352.5430908,352.2606201,376.1347656,471.5914612,169.7465057,73.42170715,83.96089172
3/1/2025 3:20,195.8783264,195.3649597,113.0441666,112.7972336,6.380941868,6.078788757,6.622666359,178.4044647,5.008620262,5.13043642,4.959506512,4.944561958,66.64844513,92.70280457,92.49910736,99.9780426,352.0510254,360,60.37219238,470.4968872,472.0201721,0.124162711,0.078429073,92.65294647,76.5162735,352.0510254,351.6753845,376.1821899,470.4672241,169.6937408,73.34880066,83.8934021
3/1/2025 3:25,192.519165,192.5320282,112.5645676,112.6214828,6.381138325,6.079265594,6.976485729,179.2620697,5.009328365,5.130761623,4.959731579,4.944731236,68.23954773,92.63095093,92.49907684,99.97759247,351.4936523,360,63.52793503,469.3760681,472.0205383,0.123154789,0.076887317,92.66460419,76.30739594,351.4936523,350.9765015,376.1268616,469.3429565,169.6409607,73.27589417,83.82591248
3/1/2025 3:30,196.9049225,196.5,112.9526367,112.9014053,6.381334782,6.079742432,6.818434715,178.4610443,5.010035992,5.131086826,4.959956646,4.944900513,70.41300964,92.42520905,92.49904633,99.97714996,350.8544006,360,67.00535583,469.3982544,472.020874,0.12214686,0.075345561,92.385849,76.14513397,350.8544006,350.6985779,376.0097351,469.4002991,169.5881805,73.20298767,83.75842285
3/1/2025 3:35,192.1660004,192.6361542,113.4275131,113.5197983,6.381531239,6.080219269,7.072859764,178.8197327,5.010744095,5.131412506,4.960181713,4.94506979,68.0711441,92.506073,92.49901581,99.97670746,351.4598694,360,67.46433258,472.3899231,472.0212097,0.12113893,0.073803805,92.42399597,76.53609467,351.4598694,351.3583984,375.8926086,472.4076843,169.5354156,73.13008118,83.69093323
3/1/2025 3:40,190.5084076,191.1739655,113.6110992,113.7879562,6.381727695,6.080696106,6.087724209,178.2109833,5.011451721,5.131737709,4.96040678,4.945239067,64.71092987,92.63098907,92.49898529,99.97625732,352.059845,360,63.86507797,475.1695862,472.0215759,0.120131008,0.072262049,92.73880005,77.07724762,352.059845,351.9634094,375.9352112,475.240387,169.4826355,73.05717468,83.62343597
3/1/2025 3:45,195.1259766,196.5,113.6467133,113.6184769,6.381923676,6.081172943,6.950919628,178.6048889,5.012159824,5.132062912,4.960632324,4.945408344,67.4826355,92.67208862,92.49895477,99.97581482,352.696991,360,59.60964203,475.3926392,472.0219116,0.119123079,0.070720285,92.54780579,76.47798157,352.696991,352.8366699,376.1079102,475.2592163,169.47258,72.98427582,83.55594635
3/1/2025 3:50,190.8766174,190.5016632,113.4698944,113.5225296,6.382120132,6.08164978,6.1581707,178.0690155,5.012867451,5.132388592,4.960857391,4.945577145,65.64585876,92.26064301,92.49892426,99.97537231,352.3520813,360,59.11223602,471.5832825,472.0222473,0.118115157,0.069178529,91.8670578,76.16869354,352.3520813,352.4472351,376.2806091,471.6199951,169.4647675,72.91136932,83.48845673
3/1/2025 3:55,194.6440277,194.7272186,112.7892685,112.7768631,6.382316589,6.082126617,7.01122427,178.4098358,5.013575554,5.132713795,4.961082458,4.945746422,67.44007874,92.38793182,92.49889374,99.97492981,351.7129822,360,61.44553375,469.8338928,472.0226135,0.117107227,0.067636773,92.50481415,76.33689117,351.7129822,351.5516968,376.3153992,469.815094,169.456955,72.83846283,83.4209671
3/1/2025 4:00,195.9342194,196.5400238,112.5976181,112.4568405,6.382513046,6.082603455,6.853191853,178.8022156,5.014283657,5.133038998,4.961307526,4.945915699,65.28270721,92.55885315,92.49886322,99.97447968,351.0374451,360,65.05969238,468.6927795,472.0229492,0.116099298,0.066095017,92.64273834,76.88430786,351.0374451,351.2840271,376.1631775,468.6959839,169.4491425,72.76555634,83.35347748
3/1/2025 4:05,195.4689941,195.6739502,113.4844513,113.2494049,6.382709503,6.083080292,6.965367794,179.1003723,5.014991283,5.133364201,4.961532593,4.946084976,66.8642807,92.67298126,92.4988327,99.97403717,350.9057312,360,68.47747803,470.1506348,472.0232849,0.115091376,0.064553261,92.72994995,76.33838654,350.9057312,350.9941711,376.0109558,470.10672,169.44133,72.69264984,83.28598022
3/1/2025 4:10,194.5,193,113.3597641,113.7841721,6.382905483,6.083557129,7.044593811,178.9913483,5.015699387,5.13368988,4.96175766,4.946254253,66.37442017,92.50202179,92.49880219,99.97359467,351.4715881,360,67.02529907,473.6357117,472.0236511,0.114083447,0.063011505,92.65866089,76.08390808,351.4715881,351.4993286,375.8587341,473.6748352,169.4335175,72.63101196,83.26830292
3/1/2025 4:15,191.6515656,191.1985168,113.9009094,113.6728745,6.38310194,6.084033966,7.024020195,178.0713959,5.016407013,5.134015083,4.961982727,4.946423531,68.37422943,92.54496765,92.49877167,99.97315216,352.1758728,360,62.99182892,475.3688354,472.0239868,0.113075525,0.061469745,92.38241577,76.43894958,352.1758728,352.2047424,376.020813,475.3493958,169.425705,72.59864807,83.25546265
3/1/2025 4:20,195.1140289,194.0331116,113.0935059,113.0239792,6.383298397,6.084510803,6.644451141,178.5462341,5.017115116,5.134340286,4.962207794,4.946592808,64.8841629,92.69950104,92.49874115,99.97270203,352.345459,360,59.28976822,474.5128479,472.0243225,0.112067595,0.059927985,92.57432556,76.99128723,352.345459,352.3916321,376.2269287,474.4405212,169.4178925,72.56628418,83.24262238
3/1/2025 4:25,195.9164886,195.3362427,112.7457581,112.9743271,6.383494854,6.08498764,6.875379086,178.4689484,5.017822742,5.134665966,4.962432861,4.946762085,66.45404053,92.91507721,92.49871063,99.97225952,351.9386292,360,59.15971375,471.1387329,472.0246887,0.111059666,0.058386229,92.93132782,76.85694885,351.9386292,351.95047,376.4330444,471.1975098,169.41008,72.53392029,83.22978973
3/1/2025 4:30,196.4915161,196.4915161,112.7672119,112.8790588,6.383691311,6.085464478,7.028692722,178.8276825,5.018530846,5.134991169,4.962574959,4.946930885,67.92210388,92.80564117,92.49868011,99.97181702,351.5024109,360,61.45765686,470.0325012,472.0250244,0.110051744,0.056844469,92.31575012,76.3002243,351.5024109,351.5011597,376.3108215,470.0211182,169.4022675,72.5015564,83.21694946
3/1/2025 4:35,177.0780487,177.5169373,112.6111984,112.7365189,6.383887768,6.085941315,7.04056406,178.736969,5.019238949,5.135316372,4.962479115,4.947100163,66.35478973,92.30366516,92.4986496,99.97137451,351.0473938,360,64.8254776,468.9262695,472.0253601,0.109043814,0.055302713,92.4598465,75.99830627,351.0473938,351.0467224,376.1168213,468.9362183,169.2699432,72.4691925,83.20411682
3/1/2025 4:40,191.2379303,191,113.2964325,113.3885956,6.384083748,6.086418152,7.050164223,180.1182709,5.019946575,5.135641575,4.962383747,4.94726944,65.72480774,92.66986084,92.49861908,99.97092438,350.5923767,360,68.40890503,470.0289612,472.0257263,0.108035885,0.053760957,92.50104523,76.36138916,350.5923767,350.5922852,375.9228516,470.0315857,169.0863342,72.43682861,83.19127655
3/1/2025 4:45,190.4583588,191.2650604,113.139946,113.2356491,6.384280205,6.086894989,6.085697174,179.5993195,5.020654678,5.135967255,4.962287903,4.947438717,63.22953033,92.75687408,92.49858856,99.97048187,350.9496155,360,66.98734283,473.3882751,472.026062,0.107027963,0.052219197,92.44403839,76.65253448,350.9496155,351.269928,375.7288818,473.5647888,168.9027252,72.40446472,83.17844391
3/1/2025 4:50,190.7077332,191.8774872,113.2577744,113.4266891,6.384476662,6.087371826,7.032190323,179.5186005,5.021362305,5.136292458,4.962192535,4.947607994,65.26625061,92.66292572,92.49855804,99.97003937,352.0110168,360,63.28590012,474.8892212,472.0263977,0.106020033,0.050677441,92.62540436,77.00004578,352.0110168,352.363739,375.7051086,474.9169617,168.8852692,72.37210083,83.16560364
3/1/2025 4:55,185.4863281,185.6556549,113.6050568,113.4930573,6.384673119,6.087848663,7.109903336,178.5538483,5.022070408,5.136617661,4.962096691,4.947777271,66.68740082,92.50517273,92.49852753,99.96959686,353.0637512,360,59.32719803,474.2976379,472.0267639,0.105012111,0.049135685,92.52046967,75.87997437,353.0637512,352.6334534,375.7750244,474.1190491,168.9540253,72.33973694,83.15276337
3/1/2025 5:00,192.5374146,192.4284363,113.0535202,112.7886276,6.384869576,6.0883255,6.786836147,180.105484,5.022778511,5.13694334,4.962000847,4.947946548,63.5359726,92.62736511,92.49849701,99.96914673,352.0408936,360,59.65766144,471.3692322,472.0270996,0.104004182,0.047593925,92.75767517,76.29818726,352.0408936,351.9963379,375.8449402,471.5374451,169.0227814,72.30737305,83.13993073
